SITE CODE= 4B9ëÂçËéså√êÏéOì˙í¨          ,38.1033,142.8600, 24,9.0,40613.6154873, 26.93, 46.56
 LAT.=   38.5741
 LON.=  140.9561
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 46 30
 NS,EW,UD
-0.052,-0.010,0.005
-0.105,-0.013,-0.002
-0.067,-0.023,-0.010
-0.069,0.000,-0.015
-0.047,0.006,-0.014
0.059,0.020,-0.004
-0.053,0.023,-0.003
-0.163,0.011,0.001
-0.035,0.012,-0.013
-0.024,-0.020,-0.034
-0.009,-0.014,-0.034
0.104,0.004,-0.024
0.089,0.020,0.008
0.036,0.015,0.010
0.016,-0.007,-0.002
0.111,-0.011,-0.007
0.125,-0.045,-0.004
0.102,-0.037,0.027
0.162,-0.031,0.030
0.129,-0.013,0.034
0.166,0.016,0.030
0.118,-0.006,0.004
0.016,0.011,0.013
0.059,0.000,0.016
0.088,0.002,0.020
0.049,0.007,0.009
-0.016,-0.021,-0.016
-0.043,-0.011,-0.031
-0.079,-0.022,-0.046
-0.047,0.018,-0.034
0.002,0.050,-0.022
-0.055,0.041,-0.009
-0.205,0.030,-0.005
-0.245,-0.020,-0.019
-0.177,-0.027,-0.006
-0.223,-0.023,0.005
-0.034,-0.012,0.014
0.080,-0.002,0.014
-0.019,-0.014,-0.011
0.059,-0.019,-0.007
0.034,-0.035,-0.007
-0.017,-0.022,0.002
-0.107,-0.002,0.010
-0.084,0.001,-0.017
0.081,0.013,-0.021
0.007,0.006,-0.030
0.045,0.004,-0.003
0.110,0.014,0.032
0.058,0.013,0.037
0.107,0.029,0.048
0.027,0.005,0.024
0.005,-0.020,0.013
0.133,-0.023,-0.001
0.081,-0.034,-0.011
0.055,0.004,-0.011
0.095,0.000,-0.027
0.074,0.009,-0.023
0.119,0.025,-0.024
0.046,0.004,-0.014
-0.076,0.016,-0.014
-0.045,0.007,-0.021
-0.031,0.013,-0.022
-0.048,0.004,-0.011
-0.072,-0.005,0.014
-0.039,-0.004,0.013
0.011,-0.011,0.018
0.032,-0.004,0.002
0.101,-0.022,-0.008
0.070,-0.021,0.000
0.050,-0.030,-0.009
-0.023,-0.026,0.009
-0.110,-0.005,0.002
-0.078,0.000,0.002
-0.163,0.021,0.014
-0.071,0.002,0.007
-0.021,-0.022,0.025
-0.061,-0.038,0.002
0.136,-0.036,-0.014
0.071,-0.011,-0.011
-0.041,-0.007,-0.027
0.054,0.025,-0.014
0.015,0.024,-0.020
-0.080,0.020,-0.015
-0.041,0.013,-0.011
-0.064,-0.014,-0.021
-0.202,0.006,-0.001
-0.147,-0.003,0.004
-0.063,0.009,0.020
-0.052,0.013,0.021
0.013,0.011,0.014
0.054,0.025,0.027
0.085,-0.013,0.013
0.123,-0.005,0.013
0.109,-0.013,0.006
0.078,-0.018,-0.007
0.030,-0.001,-0.005
-0.025,-0.007,-0.021
0.022,0.002,-0.021
-0.030,-0.016,-0.021
-0.067,-0.011,-0.032
0.020,0.001,-0.020
-0.058,0.007,-0.014
-0.031,0.011,-0.004
0.052,-0.013,0.001
-0.050,-0.011,-0.004
-0.009,-0.013,0.002
0.065,-0.009,0.006
0.024,0.002,0.005
0.034,0.014,0.013
0.044,0.027,0.014
0.018,0.014,0.012
-0.019,0.004,0.006
-0.032,-0.011,-0.008
-0.005,-0.009,-0.005
-0.015,-0.011,-0.014
-0.089,-0.019,-0.015
-0.084,-0.003,-0.007
-0.047,-0.005,-0.014
-0.064,0.005,0.011
-0.075,-0.006,0.003
-0.106,-0.020,0.003
-0.071,-0.022,0.015
-0.039,-0.039,-0.013
-0.052,-0.019,0.000
-0.031,-0.013,-0.017
0.014,0.011,-0.005
0.014,0.022,0.016
-0.002,0.001,-0.003
0.015,0.011,0.018
-0.100,-0.014,-0.003
-0.088,-0.005,0.004
0.059,0.009,0.013
0.045,0.001,-0.011
-0.014,0.027,0.008
0.016,0.011,-0.014
0.113,0.010,-0.005
0.012,0.002,0.002
-0.011,-0.018,-0.015
0.111,-0.010,0.002
-0.051,-0.027,-0.020
-0.093,-0.014,-0.011
0.009,-0.009,0.004
-0.048,-0.023,-0.008
-0.017,-0.002,0.001
-0.020,-0.002,-0.014
-0.134,0.000,-0.011
-0.068,0.000,0.000
0.080,-0.014,-0.011
0.054,-0.007,0.000
-0.061,-0.012,-0.002
-0.100,-0.013,-0.004
-0.001,-0.007,0.007
0.063,-0.016,0.002
0.023,-0.015,-0.002
0.043,-0.023,-0.008
0.052,-0.015,-0.017
0.021,0.020,0.002
0.014,0.018,0.014
-0.027,0.020,0.014
-0.020,0.026,0.022
0.017,0.006,0.006
-0.053,0.010,0.007
-0.005,0.003,0.012
0.038,-0.013,-0.006
-0.090,-0.008,0.004
-0.053,-0.025,-0.014
0.008,-0.015,-0.026
0.016,0.006,-0.013
0.011,0.008,-0.019
-0.080,0.018,-0.007
0.000,-0.001,-0.019
0.075,0.001,-0.024
-0.036,0.001,-0.006
-0.040,-0.011,-0.001
0.062,0.013,0.014
-0.014,0.007,0.012
-0.108,0.007,0.013
-0.030,0.000,0.009
-0.102,-0.022,0.002
-0.077,-0.015,0.016
0.043,-0.023,0.014
-0.068,-0.014,0.007
-0.045,0.002,-0.005
-0.054,0.003,-0.013
-0.186,0.003,-0.008
-0.173,-0.003,-0.018
-0.039,0.002,-0.021
0.015,-0.006,-0.025
-0.057,-0.020,-0.029
0.040,-0.019,-0.024
0.042,-0.011,-0.025
-0.037,0.005,-0.015
-0.011,0.002,-0.013
-0.048,-0.005,-0.005
-0.071,-0.001,0.011
-0.153,-0.007,0.013
-0.071,-0.001,0.027
0.034,-0.013,0.023
0.050,-0.017,0.013
0.194,-0.011,0.011
0.076,-0.020,0.005
-0.045,0.002,0.002
0.001,0.010,0.005
-0.100,0.013,0.009
-0.075,0.019,0.009
-0.017,0.010,0.013
-0.006,0.008,0.014
0.155,-0.001,0.016
0.141,-0.007,0.009
0.042,-0.009,-0.006
0.164,-0.013,-0.011
0.123,-0.010,-0.015
-0.077,-0.006,-0.018
-0.070,-0.002,-0.021
-0.088,-0.001,-0.029
-0.173,-0.002,-0.023
-0.080,-0.009,-0.020
-0.073,-0.020,-0.021
-0.127,-0.013,-0.011
0.022,-0.012,-0.020
0.073,-0.009,-0.013
-0.007,-0.005,-0.009
0.027,-0.004,-0.021
0.063,0.016,-0.001
0.059,0.002,-0.004
0.061,-0.008,0.002
-0.001,-0.001,0.022
-0.051,-0.005,0.010
0.064,0.013,0.025
0.070,0.011,0.027
-0.029,0.018,0.016
0.086,0.018,0.040
0.077,-0.021,0.020
0.032,-0.009,0.014
0.075,-0.007,0.018
-0.021,-0.014,-0.010
0.063,0.006,-0.004
0.060,-0.011,-0.022
-0.083,0.007,-0.036
-0.020,0.016,-0.019
-0.113,0.005,-0.032
-0.102,0.029,-0.024
0.061,-0.002,-0.002
-0.099,-0.004,-0.007
-0.158,0.003,0.004
0.032,-0.013,0.009
-0.008,0.005,-0.002
-0.029,-0.016,0.010
0.086,-0.016,0.003
0.015,-0.005,-0.007
0.003,-0.018,0.011
0.071,-0.006,-0.001
0.077,-0.020,-0.004
0.068,-0.020,0.010
0.057,-0.015,-0.001
0.027,-0.025,0.005
-0.045,-0.004,0.002
0.035,-0.002,-0.014
0.104,-0.003,0.003
0.060,-0.005,-0.009
-0.012,-0.007,-0.020
-0.141,0.004,-0.003
0.028,-0.001,-0.017
0.198,0.019,-0.005
0.041,0.022,-0.002
0.030,0.009,-0.020
0.065,0.014,-0.005
0.016,-0.013,-0.014
0.078,-0.004,-0.012
-0.004,-0.005,0.007
-0.157,-0.024,0.003
-0.088,0.014,0.013
-0.004,0.005,0.017
0.058,0.002,0.008
0.054,0.007,0.007
-0.060,-0.023,0.004
-0.041,-0.005,-0.006
-0.007,-0.008,-0.003
-0.065,-0.003,0.004
-0.104,0.022,-0.001
-0.075,0.006,0.005
-0.022,0.014,0.003
0.007,0.010,-0.009
0.111,-0.011,0.000
0.123,-0.005,-0.003
-0.027,-0.006,-0.004
-0.029,-0.016,0.000
-0.013,-0.014,-0.016
-0.127,-0.009,-0.014
0.004,-0.014,-0.014
0.213,-0.005,-0.018
0.116,-0.007,-0.002
0.046,-0.020,-0.006
0.065,0.005,-0.010
0.026,0.006,-0.005
0.073,0.001,-0.008
0.032,0.023,0.003
0.008,0.014,0.013
0.134,0.019,0.012
0.150,0.009,0.011
0.101,-0.017,0.001
0.010,0.003,-0.002
-0.027,-0.012,0.000
0.006,-0.014,-0.003
-0.007,0.010,-0.005
-0.012,-0.009,-0.005
-0.086,-0.003,0.002
-0.080,-0.009,0.001
-0.068,-0.025,0.004
-0.138,-0.009,0.003
-0.044,-0.017,-0.011
-0.072,-0.014,-0.017
-0.113,-0.002,-0.011
0.006,-0.005,-0.005
-0.027,-0.003,-0.004
0.020,0.000,0.002
0.073,-0.002,-0.004
-0.003,0.000,-0.007
-0.019,0.007,-0.003
-0.040,0.005,-0.018
0.052,0.002,-0.011
0.091,0.000,0.001
-0.008,-0.002,-0.008
0.052,-0.006,0.010
0.073,-0.007,0.013
-0.093,0.001,0.000
-0.127,-0.001,0.011
-0.011,0.009,0.005
-0.009,0.001,0.007
-0.067,-0.013,0.018
-0.093,-0.007,0.004
-0.096,-0.023,0.006
-0.070,-0.015,0.007
-0.096,0.003,-0.008
-0.067,-0.012,-0.011
-0.013,0.001,-0.013
-0.011,0.018,-0.016
-0.004,0.002,-0.006
-0.080,0.018,-0.001
-0.004,0.027,-0.002
0.011,-0.002,0.004
-0.133,-0.006,-0.002
-0.055,-0.014,-0.004
-0.131,-0.030,-0.007
-0.221,-0.015,-0.013
-0.136,-0.002,-0.010
-0.139,-0.001,-0.009
-0.069,0.009,-0.001
-0.028,0.006,0.000
0.000,0.003,-0.008
0.005,0.001,-0.006
-0.050,-0.011,-0.006
-0.016,-0.001,-0.002
-0.066,-0.001,0.003
-0.025,-0.004,-0.004
0.046,-0.002,-0.007
-0.019,-0.013,-0.010
0.006,0.000,-0.012
0.004,0.004,-0.007
-0.028,-0.014,-0.007
-0.064,-0.005,0.000
-0.064,-0.003,-0.004
0.006,-0.009,-0.008
0.061,-0.002,0.000
0.056,-0.010,-0.006
-0.043,-0.002,0.000
-0.112,-0.005,0.002
-0.129,-0.013,0.000
-0.039,-0.004,0.010
0.042,-0.009,0.011
0.048,0.014,0.011
0.085,0.009,0.008
0.066,-0.009,0.002
0.090,-0.003,-0.002
0.092,-0.011,-0.008
0.032,0.002,-0.009
-0.005,0.011,-0.007
0.036,0.014,-0.011
0.134,0.016,-0.014
0.063,0.005,-0.007
-0.064,0.002,0.002
-0.094,-0.009,0.002
-0.025,-0.001,0.008
-0.045,0.011,0.008
-0.131,-0.001,-0.001
-0.053,-0.003,-0.003
-0.008,-0.012,-0.013
-0.055,-0.025,-0.010
-0.124,-0.024,-0.001
-0.071,-0.018,-0.008
0.056,-0.002,-0.009
0.048,0.000,-0.004
-0.014,-0.010,-0.003
-0.007,-0.008,-0.003
0.016,-0.009,-0.001
-0.010,-0.011,0.000
0.110,-0.014,0.001
0.158,-0.005,-0.004
0.113,0.015,-0.007
0.121,0.008,-0.003
0.009,-0.006,-0.007
0.048,0.000,-0.009
0.047,0.021,-0.009
0.046,0.024,-0.011
0.111,0.004,-0.006
-0.091,0.005,-0.006
-0.092,-0.003,0.000
0.056,-0.013,0.007
0.111,-0.004,0.000
0.184,-0.011,-0.008
0.086,-0.012,-0.006
0.032,-0.013,-0.007
0.107,-0.025,-0.007
0.065,-0.018,0.002
0.010,-0.010,0.001
-0.009,-0.009,-0.002
-0.005,-0.004,0.000
0.019,-0.002,-0.005
-0.023,-0.010,-0.002
-0.016,-0.005,0.005
-0.033,0.001,0.003
-0.118,-0.013,0.004
-0.107,-0.004,0.008
-0.114,0.003,0.001
-0.051,-0.004,-0.005
0.088,-0.001,-0.001
0.057,-0.001,-0.006
-0.009,-0.006,-0.004
0.039,-0.012,0.000
0.007,-0.004,-0.008
-0.043,0.004,-0.007
0.024,0.009,-0.006
-0.023,0.014,-0.008
-0.045,0.006,-0.018
0.094,0.009,-0.019
0.122,0.006,-0.014
-0.019,-0.002,-0.012
-0.057,0.010,0.000
0.010,0.011,0.001
-0.078,0.011,0.007
-0.098,0.011,0.008
-0.001,0.006,0.000
-0.032,0.014,0.004
-0.017,0.007,0.009
0.066,-0.011,0.009
0.009,-0.020,0.006
-0.066,-0.015,0.009
0.015,-0.009,0.006
-0.008,-0.013,0.000
-0.074,-0.009,0.007
-0.051,-0.006,-0.001
-0.147,-0.007,-0.005
-0.108,-0.009,-0.002
-0.050,-0.020,-0.009
-0.055,-0.023,-0.004
0.093,-0.026,-0.003
0.071,-0.027,-0.003
-0.014,-0.021,0.007
0.002,-0.006,0.003
-0.011,-0.001,-0.014
0.011,-0.002,-0.028
-0.041,0.011,-0.029
-0.067,0.011,-0.024
0.067,0.012,-0.018
0.034,0.019,-0.007
0.027,0.001,-0.007
0.123,-0.006,0.000
0.030,-0.005,0.006
0.077,-0.021,0.002
0.105,-0.021,0.016
0.004,-0.019,0.021
0.064,-0.016,0.007
0.068,-0.005,0.007
0.038,0.010,0.012
0.027,0.029,0.005
0.010,0.026,0.004
0.034,0.025,-0.002
0.011,0.012,-0.015
-0.041,-0.011,-0.023
-0.036,0.005,-0.032
0.021,0.009,-0.030
0.028,0.013,-0.016
0.004,0.018,-0.002
