SITE CODE= E4EìåãûêÁë„ìcãÊëÂéËí¨        ,38.1033,142.8600, 24,9.0,40613.6154873, 54.13, 94.51
 LAT.=   35.6890
 LON.=  139.7559
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 47 10
 NS,EW,UD
-0.012,0.064,-0.010
0.005,0.028,-0.011
0.003,-0.007,-0.002
-0.029,-0.036,0.007
-0.075,-0.059,0.010
-0.106,-0.078,0.007
-0.105,-0.094,0.003
-0.080,-0.104,0.000
-0.048,-0.104,-0.001
-0.025,-0.095,-0.002
-0.009,-0.076,-0.002
0.008,-0.051,0.000
0.029,-0.018,0.001
0.049,0.020,-0.004
0.064,0.060,-0.014
0.073,0.095,-0.019
0.073,0.120,-0.013
0.067,0.130,0.000
0.052,0.120,0.010
0.031,0.092,0.011
0.008,0.052,0.008
-0.011,0.010,0.008
-0.024,-0.023,0.012
-0.030,-0.048,0.016
-0.032,-0.070,0.013
-0.036,-0.088,0.004
-0.050,-0.097,-0.004
-0.073,-0.089,-0.007
-0.098,-0.066,-0.006
-0.105,-0.039,-0.006
-0.084,-0.018,-0.009
-0.035,-0.008,-0.012
0.021,0.000,-0.012
0.063,0.016,-0.007
0.079,0.039,-0.001
0.075,0.058,0.003
0.064,0.061,0.002
0.054,0.045,0.000
0.049,0.021,0.001
0.048,0.004,0.004
0.047,0.002,0.006
0.042,0.010,0.005
0.028,0.015,0.000
0.004,0.012,-0.005
-0.025,0.005,-0.009
-0.048,0.002,-0.010
-0.056,0.008,-0.012
-0.051,0.019,-0.013
-0.044,0.024,-0.010
-0.043,0.019,-0.004
-0.048,0.005,0.004
-0.048,-0.011,0.008
-0.038,-0.025,0.006
-0.020,-0.032,0.000
-0.002,-0.033,-0.003
0.010,-0.031,0.000
0.016,-0.029,0.010
0.018,-0.030,0.021
0.016,-0.035,0.027
0.011,-0.039,0.021
0.007,-0.040,0.007
0.005,-0.038,-0.006
0.007,-0.032,-0.010
0.014,-0.018,-0.008
0.022,0.008,-0.003
0.032,0.043,-0.001
0.040,0.072,-0.002
0.043,0.084,-0.004
0.038,0.079,-0.003
0.028,0.066,-0.001
0.018,0.052,0.001
0.014,0.041,0.006
0.015,0.028,0.012
0.018,0.013,0.016
0.017,-0.004,0.015
0.011,-0.023,0.010
0.002,-0.043,0.004
-0.011,-0.058,0.002
-0.032,-0.062,0.004
-0.059,-0.052,0.007
-0.086,-0.032,0.006
-0.102,-0.013,0.000
-0.101,0.002,-0.007
-0.085,0.016,-0.016
-0.063,0.031,-0.020
-0.042,0.047,-0.019
-0.019,0.060,-0.011
0.008,0.070,0.000
0.040,0.073,0.007
0.069,0.066,0.005
